編  號,提案人,案               由,審查意見,大會議決
民乙 6,蔡岳儒,建請縣政府發函予中央主管機關陸委會和移民署詳查申請入國之中國官員及中共高幹有無涉入嚴重違反人權情事，經發現者，應不發給入國許可，禁止入國；本縣（市各級機關和民間組織拒絕邀訪、不予歡迎或接待任何涉有嚴重違反人權情事之中國官員及中共高幹。,照原案通過,照審查意見通過
編  號,提案人,案               由,審查意見,大會議決
財乙 3,謝翠蓮,提請縣府向中央建議將六輕帶來的各項污染列入修正財政收支劃分法之分配權重，藉以導正中央與地方財務分配結構。,照原案通過,照審查意見通過
編  號,提案人,案               由,審查意見,大會議決
建乙 31,周秀月,建請成立牛挑灣海豐崙段文旦(天柚雲林)特區，打造斗六文旦人文地理景物行銷文旦，藉由柚花天然薰香氣行銷雲林，吸引遊客至雲林農業首都賞玩。,送請縣政府 研究辦理,照審查意見通過
建乙 32,周秀月,建請縣府將雲 65 縣道納入生活圈道路改善計畫，並辦理拓寬，確保民眾行車安全,送請縣政府 研究辦理,照審查意見通過
建乙 33,王鐵道,建請縣府於西螺鎮頂湳里經崙路沿線設置擋土牆以確保人民生命財產安全。,送請縣政府 研究辦理,照審查意見通過
建乙 34,王鐵道,西螺鎮埤頭里柑桔義和段產業道路寬度狹小且路面崩塌凹陷，嚴重影響交通安全，建請縣府儘速拓寬，以維護民眾行車安全。,送請縣政府 研究辦理,照審查意見通過
建乙 35,王鐵道,建請縣府儘速於西螺鎮振興里第 2 鄰廖長年與第 4 鄰張長亨兩處之巷道重新施設排水溝，以維護社區環境衛生安全。,送請縣政府 研究辦理,照審查意見通過
編  號,提案人,案               由,審查意見,大會議決
建乙 36,林朝寶,有關「雲林縣道路挖掘管理自治條例」第 14 條規定繳納之保證金，在管線單位挖掘假修復完成後，若有缺失，經通知未改善，可限制其餘案件之申請，並予追繳所需費用，故經查驗符合即可退還保證金；建請縣府修正該條例。,送請縣政府 研究辦理,照審查意見通過
建乙 37,李建昇,為落實雲林縣境內營建剩餘土石方之妥善管理，避免環境污染，造成二次公害，應儘速研訂本縣營建剩餘土石方管理自治條例，並落實執行。,照原案通過,照審查意見通過
編  號,提案人,案               由,審查意見,大會議決
教乙 4,周秀月,建請縣府重視並辦理雲林在地影像記錄片研習、出版及在地影展計畫，讓雲林留下活的歷史記錄文化向下紮根，訂定獎勵辦法或編列預算鼓勵縣府員工及紀錄片學者、專家撰寫企劃書，記錄雲林歷史行銷雲林爭取知名度。,照原案通過,照審查意見通過
