編  號,提案人,案               由,審查意見,大會議決
民乙 18,廖清祥江文登蔡岳儒林哲凌,建請縣府呼籲中央政府基於人道考量，准予陳前總統水扁先生保外就醫。,請縣府逕行研議辦理。,照審查意見通過
民乙 19,林  深,建請縣府將六輕工安事故之罰款收入，研議成立基金會專款專用之適法性案，提請 審議。,1.照原案通過。 2.請環保局與財政處研議六輕工安罰款收入成立基金專款專用可行性，並就適法性向提案議員書面說明。,照審查意見通過
民乙 20,鄭玲惠,本縣往南行駛台一線省道車輛途經義和加油站於綠燈狀況下常與對向北上左轉進入鄉道之汽、機車發生對撞，建請縣府改善該路口現有號誌，於綠燈過後變換黃燈前增設左轉號誌指示燈，以提昇現有功能，降低事故發生。,1.照原案通過。2.議員建議提案請加速辦理。,照審查意見通過
民乙 21,鄭玲惠,本縣西螺鎮福田里社口巷前路段車輛經常高速行駛，建請縣府於巷道交岔處架設圓形雙向閃黃色燈號誌乙座，以警告來車接近巷口時應減速慢行，以免車速過快，閃避不及而釀成交通事故。,1.照原案通過。2.議員建議提案請加速辦理。,照審查意見通過
編  號,提案人,案               由,審查意見,大會議決
建乙 70,周秀月,建請縣府在石榴火車站百年綠色隧道成立樹木整修規劃小組，規劃整治斗六市百年石榴驛 5 百棵老樹，提供居民生態之休閒花園歷史古蹟空間，並將台鐵荒蕪數十公頃土地化為石榴花海，打造農業首都。,照原案通過,照審查意見 通過
建乙 71,陳河山,建請由台三省道（林內鄉中正路中油加油站對面）闢建10米道路，進入林內公園。,照原案通過,照審查意見 通過
建乙 72,王清貴,請儘速改建 155 線馬光厝大排橋樑以利行車安全。,照原案通過,照審查意見 通過
建乙 73,鄭玲惠,西螺鎮埤頭里高速公路側邊舊頂埤大排產業道路無迴轉便橋，長期以來農民產業深受影響，建請縣府儘速興建一座便橋，以增進農民生計,照原案通過,照審查意見 通過
